sales_rep_id,sales_rep_code,region_id,seniority,annual_quota_eur
1,REP-001,6,Professional,1395879
2,REP-002,7,Professional,1262654
3,REP-003,5,Junior,710781
4,REP-004,6,Senior,1952522
5,REP-005,10,Senior,2251696
6,REP-006,1,Senior,2810117
7,REP-007,8,Professional,1286526
8,REP-008,10,Senior,2490179
9,REP-009,3,Professional,1160163
10,REP-010,7,Professional,1217284
11,REP-011,2,Key Account,3224925
12,REP-012,2,Senior,2820635
13,REP-013,5,Professional,1558343
14,REP-014,4,Professional,1420920
15,REP-015,7,Senior,2676745
16,REP-016,9,Key Account,3866589
17,REP-017,5,Senior,2529935
18,REP-018,8,Senior,2615971
19,REP-019,9,Professional,1531693
20,REP-020,9,Professional,1494578
21,REP-021,7,Senior,2274828
22,REP-022,8,Professional,1330325
23,REP-023,3,Professional,1694646
24,REP-024,2,Professional,1734098
25,REP-025,8,Senior,2433989
26,REP-026,3,Senior,2506496
27,REP-027,1,Key Account,4214245
28,REP-028,8,Junior,691403
29,REP-029,3,Professional,1465587
30,REP-030,8,Professional,1361056
31,REP-031,8,Senior,2579299
32,REP-032,8,Senior,2761520
33,REP-033,10,Key Account,3414546
34,REP-034,6,Senior,2582018
35,REP-035,1,Professional,1466523
36,REP-036,5,Professional,1692748
37,REP-037,3,Junior,794531
38,REP-038,4,Professional,1180415
39,REP-039,10,Professional,1229114
40,REP-040,6,Professional,1477436
41,REP-041,8,Professional,1276718
42,REP-042,8,Key Account,4210191
43,REP-043,9,Senior,2043644
44,REP-044,1,Senior,2569843
45,REP-045,7,Key Account,3693939
46,REP-046,10,Senior,2167945
47,REP-047,10,Professional,1154362
48,REP-048,7,Junior,619495
49,REP-049,10,Professional,1691381
50,REP-050,2,Professional,1622041
51,REP-051,2,Senior,2245083
52,REP-052,9,Senior,2608021
53,REP-053,4,Key Account,4277594
54,REP-054,8,Professional,1680802
55,REP-055,8,Senior,1895730
56,REP-056,5,Junior,778298
57,REP-057,6,Key Account,3209902
58,REP-058,1,Senior,2091903
59,REP-059,9,Professional,1137188
60,REP-060,10,Junior,786763
61,REP-061,6,Key Account,3807091
62,REP-062,10,Professional,1183287
63,REP-063,3,Professional,1278168
64,REP-064,6,Senior,2771181
65,REP-065,9,Professional,1252249
66,REP-066,1,Junior,656059
67,REP-067,6,Junior,849254
68,REP-068,7,Key Account,4867857
69,REP-069,2,Professional,1173736
70,REP-070,7,Professional,1726033
71,REP-071,10,Professional,1325248
72,REP-072,10,Professional,1303763
73,REP-073,10,Professional,1352559
74,REP-074,10,Professional,1198790
75,REP-075,1,Senior,1985273
76,REP-076,4,Professional,1376181
77,REP-077,5,Junior,692253
78,REP-078,2,Junior,727159
79,REP-079,2,Senior,2820542
80,REP-080,9,Professional,1565914
81,REP-081,1,Professional,1311256
82,REP-082,7,Professional,1621894
83,REP-083,4,Professional,1745883
84,REP-084,5,Junior,922612
85,REP-085,8,Senior,2662739
