activity_id,date_id,date,customer_id,sales_rep_id,activity_type,activity_minutes,sentiment_score,customer_health_score
1,20241105,2024-11-05,1128,57,Call,22,1.386,90.3
2,20221123,2022-11-23,1049,60,Email,40,-0.289,50.9
3,20240619,2024-06-19,1006,48,Email,18,0.337,73.7
4,20211028,2021-10-28,130,34,Call,28,-0.178,66.4
5,20220722,2022-07-22,804,25,Visit,46,-0.347,50.6
6,20210627,2021-06-27,1118,22,Call,19,0.312,77.4
7,20220404,2022-04-04,1055,15,Call,53,0.875,70.9
8,20221205,2022-12-05,1111,12,Call,8,-0.157,61.6
9,20210922,2021-09-22,124,46,Email,44,0.062,56.1
10,20240701,2024-07-01,153,11,Email,9,0.333,63.1
11,20210113,2021-01-13,1075,13,Email,49,0.685,80.8
12,20240610,2024-06-10,697,50,Email,53,-0.627,66.8
13,20220619,2022-06-19,602,23,Email,61,0.324,74.9
14,20210624,2021-06-24,573,68,Email,49,0.671,76.2
15,20250629,2025-06-29,295,44,Demo,23,-0.263,55.7
16,20221104,2022-11-04,130,15,Call,45,0.248,67.2
17,20230705,2023-07-05,616,31,Call,22,0.087,64.7
18,20220820,2022-08-20,1150,51,Demo,46,-1.1,50.2
19,20250922,2025-09-22,1041,68,Email,30,0.239,76.3
20,20210526,2021-05-26,1197,9,Demo,26,-0.051,44.3
21,20210829,2021-08-29,174,32,Call,13,0.196,79.5
22,20240221,2024-02-21,116,56,Call,33,0.132,65.8
23,20230806,2023-08-06,551,78,Email,23,0.994,71.3
24,20250813,2025-08-13,185,14,Visit,40,0.292,82.1
25,20220108,2022-01-08,841,83,Visit,22,-0.085,63.9
26,20210521,2021-05-21,1043,43,Email,36,-0.067,58.4
27,20241114,2024-11-14,459,43,Call,10,-0.136,70.3
28,20250328,2025-03-28,939,76,Demo,82,0.306,66.2
29,20211109,2021-11-09,308,49,Visit,5,-0.568,57.3
30,20240911,2024-09-11,269,46,Call,41,-0.238,57.8
31,20231103,2023-11-03,1041,26,Call,30,1.144,74.8
32,20240704,2024-07-04,327,48,Call,29,-1.662,39.3
33,20241107,2024-11-07,976,7,Email,43,1.109,79.2
34,20220110,2022-01-10,469,42,Call,51,0.767,70.5
35,20240517,2024-05-17,56,77,Call,12,0.381,74.8
36,20240319,2024-03-19,335,57,Call,66,0.339,65.2
37,20230803,2023-08-03,301,63,Business Review,5,0.361,61.7
38,20220626,2022-06-26,1063,54,Visit,25,-1.069,54.5
39,20220514,2022-05-14,420,19,Business Review,28,0.306,79.8
40,20240801,2024-08-01,1149,39,Email,42,0.153,54.6
41,20210505,2021-05-05,689,81,Email,50,0.599,65.8
42,20221020,2022-10-20,1151,69,Call,14,-0.213,67.9
43,20240812,2024-08-12,40,3,Visit,84,-0.698,51.2
44,20230502,2023-05-02,961,12,Call,5,-0.131,78.5
45,20220204,2022-02-04,537,47,Visit,9,0.629,72.2
46,20220310,2022-03-10,1014,17,Business Review,34,0.836,71.0
47,20241029,2024-10-29,596,74,Email,45,0.277,70.4
48,20220125,2022-01-25,686,37,Visit,8,0.697,71.0
49,20230112,2023-01-12,14,67,Call,17,-1.0,43.6
50,20240318,2024-03-18,904,63,Training,13,-0.293,58.2
51,20250509,2025-05-09,842,24,Email,78,1.62,100.0
52,20220903,2022-09-03,623,76,Call,46,0.414,46.1
53,20221116,2022-11-16,332,43,Email,46,0.182,60.2
54,20210515,2021-05-15,511,20,Call,24,-0.296,60.2
55,20230622,2023-06-22,1075,57,Call,5,0.57,82.0
56,20251116,2025-11-16,877,49,Email,5,0.437,72.4
57,20230501,2023-05-01,70,1,Email,29,-0.081,61.6
58,20231202,2023-12-02,782,69,Call,33,0.554,82.0
59,20211003,2021-10-03,851,48,Call,55,-0.024,58.6
60,20210807,2021-08-07,157,74,Call,48,0.261,82.1
61,20220625,2022-06-25,1152,16,Visit,51,-0.522,51.4
62,20220221,2022-02-21,1028,52,Email,34,0.422,78.0
63,20210831,2021-08-31,62,39,Email,12,-0.122,57.7
64,20220923,2022-09-23,988,68,Call,47,0.021,49.9
65,20240930,2024-09-30,130,72,Email,29,0.312,68.3
66,20250109,2025-01-09,678,10,Call,45,0.436,73.5
67,20251014,2025-10-14,92,25,Business Review,5,0.632,64.5
68,20210421,2021-04-21,50,72,Call,21,-0.849,49.5
69,20251122,2025-11-22,793,31,Call,67,0.242,69.4
