cost_id,year_month,product_id,standard_unit_cost_eur,actual_unit_cost_eur
1,2021-01,1000,541.1,573.85
2,2021-01,1001,551.37,534.01
3,2021-01,1002,555.77,541.92
4,2021-01,1003,819.76,866.83
5,2021-01,1004,544.95,577.78
6,2021-01,1005,557.2,568.91
7,2021-01,1006,625.8,646.56
8,2021-01,1007,622.17,611.98
9,2021-01,1008,549.48,577.21
10,2021-01,1009,635.01,641.62
11,2021-01,1010,762.81,742.92
12,2021-01,1011,648.74,650.97
13,2021-01,1012,667.0,701.02
14,2021-01,1013,648.5,624.94
15,2021-01,1014,946.64,920.06
16,2021-01,1015,632.24,672.78
17,2021-01,1016,773.3,822.22
18,2021-01,1017,678.65,657.98
19,2021-01,1018,708.61,711.1
20,2021-01,1019,671.38,678.0
21,2021-01,1020,455.99,467.16
22,2021-01,1021,524.85,551.62
23,2021-01,1022,501.34,485.21
24,2021-01,1023,523.56,514.93
25,2021-01,1024,375.74,365.84
26,2021-01,1025,605.6,615.17
27,2021-01,1026,478.35,502.8
28,2021-01,1027,342.68,327.69
29,2021-01,1028,389.12,385.59
30,2021-01,1029,418.05,429.61
31,2021-01,1030,509.68,492.74
32,2021-01,1031,437.59,420.98
33,2021-01,1032,418.81,405.39
34,2021-01,1033,482.37,506.49
35,2021-01,1034,452.66,470.81
36,2021-01,1035,465.83,482.34
37,2021-01,1036,467.5,458.36
38,2021-01,1037,492.51,479.9
39,2021-01,1038,433.05,429.08
40,2021-01,1039,587.94,590.81
41,2021-01,1040,224.32,214.9
42,2021-01,1041,237.76,253.74
43,2021-01,1042,311.94,302.6
44,2021-01,1043,280.91,270.54
45,2021-01,1044,307.08,301.61
46,2021-01,1045,314.94,327.13
47,2021-01,1046,369.65,394.01
48,2021-01,1047,352.99,377.66
49,2021-01,1048,403.12,408.16
50,2021-01,1049,278.89,293.27
51,2021-01,1050,369.42,391.6
52,2021-01,1051,316.42,334.24
53,2021-01,1052,268.11,286.79
54,2021-01,1053,280.23,297.12
55,2021-01,1054,368.26,376.85
56,2021-01,1055,299.46,320.83
57,2021-01,1056,257.98,251.18
58,2021-01,1057,310.64,295.22
59,2021-01,1058,389.64,392.23
60,2021-01,1059,327.59,348.56
61,2021-01,1060,97.52,96.72
62,2021-01,1061,64.58,62.36
63,2021-01,1062,102.48,98.06
64,2021-01,1063,88.18,87.63
65,2021-01,1064,106.36,102.3
66,2021-01,1065,82.46,79.87
67,2021-01,1066,85.04,81.32
68,2021-01,1067,109.46,108.04
69,2021-01,1068,105.69,102.12
70,2021-01,1069,114.04,116.21
71,2021-01,1070,75.77,79.99
72,2021-01,1071,70.03,70.01
73,2021-01,1072,88.95,95.04
74,2021-01,1073,95.33,91.18
75,2021-01,1074,68.67,65.62
76,2021-01,1075,107.28,114.3
77,2021-01,1076,71.67,73.95
78,2021-01,1077,85.09,88.19
79,2021-01,1078,115.15,112.81
80,2021-01,1079,99.14,103.15
81,2021-01,1080,397.87,391.16
82,2021-01,1081,410.85,442.94
83,2021-01,1082,588.8,617.39
84,2021-01,1083,362.72,386.85
85,2021-01,1084,394.58,423.89
86,2021-01,1085,449.08,457.02
87,2021-01,1086,483.78,465.4
88,2021-01,1087,361.28,355.68
89,2021-01,1088,584.6,577.72
90,2021-01,1089,479.42,456.05
91,2021-01,1090,537.95,535.19
92,2021-01,1091,467.22,461.87
93,2021-01,1092,609.63,657.52
94,2021-01,1093,544.51,554.29
95,2021-01,1094,499.69,489.28
96,2021-01,1095,290.46,303.18
97,2021-01,1096,665.81,713.6
98,2021-01,1097,388.41,418.73
99,2021-01,1098,433.3,452.06
100,2021-01,1099,472.7,464.05
101,2021-01,1100,943.95,967.08
102,2021-01,1101,871.75,892.62
103,2021-01,1102,871.06,920.81
104,2021-01,1103,1276.14,1295.59
105,2021-01,1104,689.49,714.94
106,2021-01,1105,899.28,918.39
107,2021-01,1106,758.21,779.42
108,2021-01,1107,984.79,963.04
109,2021-01,1108,928.77,893.84
110,2021-01,1109,802.58,769.66
111,2021-01,1110,1148.2,1229.09
112,2021-01,1111,834.25,867.23
113,2021-01,1112,944.37,1008.6
114,2021-01,1113,1176.18,1210.98
115,2021-01,1114,903.07,898.71
116,2021-01,1115,1015.24,977.7
117,2021-01,1116,1009.01,1087.35
118,2021-01,1117,870.36,827.91
119,2021-01,1118,796.94,791.55
120,2021-01,1119,1020.62,1099.9
121,2021-01,1120,69.84,70.22
122,2021-01,1121,47.55,45.49
123,2021-01,1122,59.79,59.19
124,2021-01,1123,50.23,50.67
125,2021-01,1124,61.51,62.33
126,2021-01,1125,57.14,58.1
127,2021-01,1126,46.06,45.39
128,2021-01,1127,70.63,71.6
129,2021-01,1128,38.45,39.08
130,2021-01,1129,51.65,49.32
131,2021-01,1130,59.64,58.93
132,2021-01,1131,68.37,65.46
133,2021-01,1132,54.23,57.31
134,2021-01,1133,76.62,74.31
135,2021-01,1134,52.21,52.68
136,2021-01,1135,54.41,52.77
137,2021-01,1136,47.71,46.75
138,2021-01,1137,47.38,49.58
139,2021-01,1138,58.22,56.59
140,2021-01,1139,61.25,64.54
141,2021-01,1140,927.81,915.14
142,2021-01,1141,541.23,515.78
143,2021-01,1142,543.23,571.18
144,2021-01,1143,721.96,746.32
145,2021-01,1144,538.37,525.74
146,2021-01,1145,606.35,576.88
147,2021-01,1146,526.57,558.27
148,2021-01,1147,596.75,640.1
