inventory_id,year_month,product_id,region_id,opening_stock_units,production_units,ending_stock_units,stockout_flag,inventory_value_eur
1,2021-01,1000,1,53,79,51,False,30108.39
2,2021-01,1000,3,31,22,34,False,11838.23
3,2021-01,1000,7,15,13,18,False,7186.07
4,2021-01,1001,1,3,4,1,False,551.01
5,2021-01,1001,2,180,118,196,False,43963.47
6,2021-01,1001,3,160,140,183,False,12511.12
7,2021-01,1001,5,7,7,7,False,2085.98
8,2021-01,1001,6,24,37,28,False,3674.63
9,2021-01,1001,8,94,72,91,False,18932.51
10,2021-01,1002,1,10,6,8,False,3978.41
11,2021-01,1002,2,34,53,48,False,29760.95
12,2021-01,1002,3,152,123,137,False,71366.51
13,2021-01,1002,6,160,134,193,False,58709.4
14,2021-01,1002,8,42,51,49,False,26461.55
15,2021-01,1002,9,57,97,79,False,28529.22
16,2021-01,1003,2,92,68,97,False,35093.27
17,2021-01,1003,3,17,18,12,False,4360.05
18,2021-01,1003,4,139,120,157,False,38543.19
19,2021-01,1003,5,103,136,124,False,52595.83
20,2021-01,1003,6,10,17,14,False,2395.01
21,2021-01,1003,8,142,130,153,False,65797.75
22,2021-01,1003,9,10,15,9,False,4308.45
23,2021-01,1004,1,285,253,323,False,117423.45
24,2021-01,1004,3,5,6,3,False,175.83
25,2021-01,1004,4,63,74,45,False,24318.5
26,2021-01,1004,5,94,52,81,False,19201.55
27,2021-01,1004,6,298,166,295,False,89330.55
28,2021-01,1005,5,112,98,97,False,23127.08
29,2021-01,1005,6,42,42,53,False,4851.51
30,2021-01,1006,1,302,317,395,False,134048.66
31,2021-01,1006,4,38,31,47,False,26423.69
32,2021-01,1006,5,137,135,168,False,45157.92
33,2021-01,1006,6,76,55,68,False,2919.58
34,2021-01,1006,9,10,7,7,False,2818.2
35,2021-01,1007,1,41,24,42,False,23445.04
36,2021-01,1007,2,43,29,39,False,6444.43
37,2021-01,1007,3,24,23,25,False,4960.38
38,2021-01,1007,4,21,24,26,False,7905.66
39,2021-01,1007,5,14,15,13,False,4847.0
40,2021-01,1007,6,8,12,6,False,972.17
41,2021-01,1007,9,37,64,51,False,31412.39
42,2021-01,1007,10,20,14,21,False,8169.9
43,2021-01,1008,2,14,15,18,False,4756.89
44,2021-01,1008,3,175,130,195,False,101258.62
45,2021-01,1008,6,16,25,17,False,8801.25
46,2021-01,1008,7,102,88,86,False,31528.01
47,2021-01,1008,8,15,8,13,False,1459.38
48,2021-01,1009,1,113,158,162,False,81038.92
49,2021-01,1009,3,111,83,89,False,23143.53
50,2021-01,1009,6,15,14,13,False,925.48
51,2021-01,1009,8,62,32,58,False,6464.97
52,2021-01,1009,10,80,164,114,False,32494.08
53,2021-01,1010,1,92,58,91,False,24573.25
54,2021-01,1010,3,153,217,204,False,45697.62
55,2021-01,1010,4,52,62,67,False,10508.06
56,2021-01,1010,6,80,68,93,False,31361.26
57,2021-01,1010,7,76,77,91,False,46980.81
58,2021-01,1010,8,46,46,53,False,25014.22
59,2021-01,1011,1,165,179,207,False,66104.32
60,2021-01,1011,2,37,23,34,False,10555.53
61,2021-01,1011,4,52,31,52,False,12337.51
62,2021-01,1011,5,78,65,91,False,45839.04
63,2021-01,1011,7,16,18,15,False,3668.8
64,2021-01,1012,1,43,30,45,False,10346.16
65,2021-01,1012,2,116,120,125,False,61328.22
66,2021-01,1012,3,34,55,39,False,10302.59
67,2021-01,1012,4,4,3,4,False,949.13
68,2021-01,1012,5,217,155,177,False,102144.63
69,2021-01,1012,6,67,125,87,False,22427.04
70,2021-01,1012,9,18,26,25,False,14414.13
