opportunity_id,created_date,customer_id,product_group,sales_rep_id,stage,expected_value_eur,win_probability,expected_close_date,created_date_id,weighted_pipeline_eur
1,2021-08-12,56,Connectivity Module,18,Lead,137697.63,0.413,2022-03-15,20210812,56869.12
2,2021-02-14,1038,Accessory Kit,41,Qualified,109985.57,0.452,2021-07-09,20210214,49713.48
3,2022-07-09,546,Service Contract,59,Qualified,31257.79,0.153,2022-12-06,20220709,4782.44
4,2025-08-05,1075,Legacy Workstation,67,Qualified,18770.05,0.699,2026-01-28,20250805,13120.26
5,2025-06-18,96,Monitoring Device,33,Lead,15327.18,0.425,2025-12-16,20250618,6514.05
6,2024-11-13,269,Accessory Kit,67,Qualified,17647.51,0.452,2025-02-23,20241113,7976.67
7,2025-06-18,1199,Legacy Workstation,37,Lead,33481.56,0.66,2026-01-02,20250618,22097.83
8,2023-09-20,164,Connectivity Module,47,Lead,23485.35,0.3,2024-04-02,20230920,7045.6
9,2022-09-27,860,Medical Sensor,70,Lead,9424.25,0.613,2023-02-23,20220927,5777.07
10,2025-09-06,977,Industrial Scanner,79,Qualified,19774.66,0.427,2026-03-23,20250906,8443.78
11,2021-02-16,750,Laptop Standard,23,Qualified,13702.2,0.202,2021-09-01,20210216,2767.84
12,2022-10-20,988,Legacy Workstation,48,Lead,12186.76,0.199,2023-01-14,20221020,2425.17
13,2025-09-26,633,Laptop Pro,38,Proposal,4194.77,0.386,2025-11-15,20250926,1619.18
14,2024-12-06,837,Accessory Kit,39,Qualified,32630.1,0.725,2025-04-15,20241206,23656.82
15,2022-12-30,677,Connectivity Module,13,Closed Won,9755.79,0.495,2023-04-23,20221230,4829.12
16,2022-03-10,1105,Legacy Workstation,49,Closed Lost,9991.96,0.634,2022-04-05,20220310,6334.9
17,2021-03-18,603,Tablet Enterprise,67,Closed Won,36107.28,0.166,2021-09-11,20210318,5993.81
18,2023-09-16,373,Legacy Workstation,49,Negotiation,11683.91,0.158,2024-02-09,20230916,1846.06
19,2021-06-17,757,Service Contract,80,Qualified,2964.65,0.113,2021-12-08,20210617,335.01
