return_id,sales_id,date_id,date,customer_id,product_id,region_id,return_units,return_value_eur,return_reason
1,71788,20250526,2025-05-26,928,1075,3,1,204.07,Defect
2,67219,20210611,2021-06-11,1077,1170,9,3,185.1,Customer Cancellation
3,54067,20211228,2021-12-28,379,1042,3,6,2003.92,Defect
4,7169,20220428,2022-04-28,533,1181,6,1,219.8,Other
5,29619,20221106,2022-11-06,928,1069,3,1,200.15,Defect
6,101426,20251012,2025-10-12,149,1139,8,20,1996.91,Wrong Configuration
7,20442,20251207,2025-12-07,984,1085,2,1,900.88,Customer Cancellation
8,2663,20250129,2025-01-29,894,1183,1,3,533.33,Shipping Damage
9,20372,20250123,2025-01-23,688,1075,9,4,819.84,Shipping Damage
10,108152,20220827,2022-08-27,469,1058,1,7,3478.21,Wrong Configuration
11,15316,20240121,2024-01-21,224,1196,9,11,2154.84,Customer Cancellation
12,23539,20220406,2022-04-06,157,1030,1,4,2232.9,Shipping Damage
13,113199,20230628,2023-06-28,374,1019,4,1,957.94,Defect
14,202,20251004,2025-10-04,813,1130,3,6,443.96,Wrong Configuration
15,52091,20250624,2025-06-24,530,1021,5,3,2009.05,Customer Cancellation
16,15395,20230803,2023-08-03,574,1118,7,3,4449.38,Defect
17,88289,20250703,2025-07-03,689,1072,1,21,3862.57,Other
18,46591,20220727,2022-07-27,971,1170,6,16,946.81,Shipping Damage
19,14006,20251212,2025-12-12,1178,1017,7,13,13474.7,Defect
20,13753,20241012,2024-10-12,650,1010,2,1,926.86,Customer Cancellation
21,119831,20240110,2024-01-10,898,1021,3,12,8726.78,Shipping Damage
22,82402,20210819,2021-08-19,308,1024,1,5,2356.4,Wrong Configuration
23,1750,20210716,2021-07-16,243,1023,3,3,1558.57,Customer Cancellation
24,114631,20250802,2025-08-02,164,1193,9,4,777.64,Defect
25,11204,20230611,2023-06-11,978,1050,6,56,29435.95,Other
26,59655,20251006,2025-10-06,515,1132,3,9,698.37,Wrong Configuration
27,35528,20220518,2022-05-18,82,1052,3,3,1181.73,Defect
28,101798,20210628,2021-06-28,1063,1046,6,51,24281.23,Other
29,11981,20251223,2025-12-23,1131,1055,4,7,2799.45,Defect
30,61755,20240229,2024-02-29,778,1049,6,8,2863.01,Wrong Configuration
31,93023,20251121,2025-11-21,281,1094,3,1,947.43,Shipping Damage
32,13665,20220127,2022-01-27,78,1195,9,4,839.7,Shipping Damage
