customer_id;customer_code;customer_segment;industry;region_id;customer_since;customer_size_score;base_churn_probability
1;CUST-00001;SMB;Retail;10;2020-08-12;1,127;0,106
2;CUST-00002;Public Sector;Retail;5;2021-10-04;1,699;0,068
3;CUST-00003;Mid-Market;Manufacturing;6;2021-12-04;1,87;0,055
4;CUST-00004;Mid-Market;Government;8;2024-01-15;1,847;0,072
5;CUST-00005;SMB;Retail;8;2022-08-26;0,937;0,199
6;CUST-00006;SMB;Technology;7;2023-11-25;0,538;0,22
7;CUST-00007;Public Sector;Healthcare;7;2022-01-24;5,262;0,062
8;CUST-00008;Enterprise;Retail;10;2024-01-22;20,988;0,041
9;CUST-00009;Mid-Market;Logistics;3;2021-06-06;5,59;0,068
10;CUST-00010;SMB;Technology;9;2022-01-26;1,648;0,152
11;CUST-00011;Mid-Market;Manufacturing;1;2021-05-13;4,422;0,065
12;CUST-00012;Distributor;Healthcare;2;2020-10-24;5,326;0,122
13;CUST-00013;Mid-Market;Manufacturing;2;2024-01-03;2,798;0,072
14;CUST-00014;Mid-Market;Technology;1;2020-01-13;5,213;0,082
15;CUST-00015;SMB;Manufacturing;1;2020-12-17;0,886;0,202
16;CUST-00016;Public Sector;Government;9;2020-06-06;1,303;0,071
17;CUST-00017;Enterprise;Retail;1;2023-11-12;6,31;0,022
18;CUST-00018;Public Sector;Technology;6;2021-08-26;1,917;0,043
19;CUST-00019;Mid-Market;Logistics;8;2021-07-16;2,178;0,062
20;CUST-00020;Mid-Market;Education;4;2020-06-15;3,227;0,057
21;CUST-00021;Distributor;Government;1;2020-12-15;2,725;0,078
22;CUST-00022;Public Sector;Retail;1;2022-09-03;3,258;0,042
23;CUST-00023;SMB;Government;8;2022-05-11;0,589;0,172
24;CUST-00024;Mid-Market;Manufacturing;2;2021-03-20;2,173;0,095
25;CUST-00025;SMB;Technology;5;2021-02-27;0,911;0,173
26;CUST-00026;SMB;Healthcare;1;2021-06-23;1,28;0,166
27;CUST-00027;Distributor;Technology;1;2021-07-12;2,921;0,077
28;CUST-00028;Enterprise;Government;1;2020-08-23;13,026;0,034
29;CUST-00029;SMB;Technology;4;2022-03-03;1,203;0,231
30;CUST-00030;Public Sector;Technology;7;2021-07-10;3,077;0,069
31;CUST-00031;Mid-Market;Retail;1;2023-10-29;2,682;0,08
32;CUST-00032;SMB;Manufacturing;7;2023-05-25;1,075;0,16
33;CUST-00033;SMB;Government;1;2022-04-08;0,869;0,112
34;CUST-00034;SMB;Manufacturing;1;2021-10-13;0,943;0,154
35;CUST-00035;Distributor;Education;3;2021-09-12;10,098;0,106
36;CUST-00036;SMB;Government;4;2022-07-09;0,431;0,127
37;CUST-00037;SMB;Healthcare;8;2022-05-25;0,462;0,218
38;CUST-00038;SMB;Technology;10;2021-11-10;0,767;0,143
39;CUST-00039;Distributor;Education;3;2023-01-07;5,178;0,099
40;CUST-00040;SMB;Government;5;2022-12-23;1,573;0,187
41;CUST-00041;Mid-Market;Technology;4;2021-11-27;3,506;0,051
42;CUST-00042;SMB;Logistics;6;2023-01-04;1,232;0,146
43;CUST-00043;Mid-Market;Government;7;2023-11-10;1,97;0,083
44;CUST-00044;Mid-Market;Healthcare;2;2023-02-22;4,921;0,083
45;CUST-00045;Distributor;Technology;2;2023-12-11;1,725;0,127
46;CUST-00046;SMB;Logistics;2;2021-04-06;1,777;0,229
47;CUST-00047;Mid-Market;Healthcare;6;2022-03-27;2,618;0,095
48;CUST-00048;SMB;Government;4;2020-09-21;1,451;0,145
49;CUST-00049;SMB;Logistics;5;2021-10-26;0,658;0,135
50;CUST-00050;Distributor;Education;9;2021-04-19;6,996;0,112
51;CUST-00051;SMB;Technology;7;2020-06-06;0,469;0,135
52;CUST-00052;SMB;Manufacturing;2;2021-04-03;1,277;0,156
53;CUST-00053;Mid-Market;Government;8;2021-03-12;2,456;0,046
54;CUST-00054;Mid-Market;Education;7;2020-07-20;3,354;0,089
55;CUST-00055;Enterprise;Government;4;2021-11-06;4,842;0,023
56;CUST-00056;SMB;Government;6;2023-08-09;2,202;0,113
57;CUST-00057;Mid-Market;Manufacturing;7;2021-01-09;3,719;0,083
58;CUST-00058;Enterprise;Manufacturing;8;2022-05-13;6,871;0,033
59;CUST-00059;SMB;Logistics;6;2023-04-09;0,697;0,232
60;CUST-00060;SMB;Education;1;2022-10-22;1,708;0,145
61;CUST-00061;SMB;Healthcare;4;2020-11-10;1,331;0,149
62;CUST-00062;Public Sector;Education;8;2023-09-21;4,916;0,045
63;CUST-00063;SMB;Technology;8;2020-09-08;0,876;0,122
64;CUST-00064;Public Sector;Manufacturing;1;2021-05-03;2,913;0,035
65;CUST-00065;Enterprise;Technology;1;2020-05-10;7,027;0,02
66;CUST-00066;SMB;Manufacturing;8;2021-05-28;0,874;0,214
