product_id;sku;product_family;product_group;product_name;launch_year;lifecycle_stage;base_list_price_eur;base_unit_cost_eur;target_margin_pct;product_growth_factor
1000;SKU-1000;IT Devices;Laptop Pro;Laptop Pro Model 01;2022;Decline;804,37;540,92;0,29;1,08
1001;SKU-1001;IT Devices;Laptop Pro;Laptop Pro Model 02;2023;Growth;771,33;542,71;0,29;1,08
1002;SKU-1002;IT Devices;Laptop Pro;Laptop Pro Model 03;2024;Growth;828,8;552,0;0,29;1,08
1003;SKU-1003;IT Devices;Laptop Pro;Laptop Pro Model 04;2020;Mature;1137,76;781,22;0,29;1,08
1004;SKU-1004;IT Devices;Laptop Pro;Laptop Pro Model 05;2022;Mature;814,88;542,77;0,29;1,08
1005;SKU-1005;IT Devices;Laptop Pro;Laptop Pro Model 06;2023;Decline;851,94;552,8;0,29;1,08
1006;SKU-1006;IT Devices;Laptop Pro;Laptop Pro Model 07;2018;Decline;897,96;613,65;0,29;1,08
1007;SKU-1007;IT Devices;Laptop Pro;Laptop Pro Model 08;2024;Growth;1017,79;613,65;0,29;1,08
1008;SKU-1008;IT Devices;Laptop Pro;Laptop Pro Model 09;2020;Mature;834,02;566,47;0,29;1,08
1009;SKU-1009;IT Devices;Laptop Pro;Laptop Pro Model 10;2022;Growth;830,51;623,9;0,29;1,08
1010;SKU-1010;IT Devices;Laptop Pro;Laptop Pro Model 11;2023;Mature;1036,25;770,22;0,29;1,08
1011;SKU-1011;IT Devices;Laptop Pro;Laptop Pro Model 12;2019;Mature;983,83;655,65;0,29;1,08
1012;SKU-1012;IT Devices;Laptop Pro;Laptop Pro Model 13;2022;Growth;960,33;667,95;0,29;1,08
1013;SKU-1013;IT Devices;Laptop Pro;Laptop Pro Model 14;2022;Mature;902,63;662,1;0,29;1,08
1014;SKU-1014;IT Devices;Laptop Pro;Laptop Pro Model 15;2021;Growth;1206,71;909,0;0,29;1,08
1015;SKU-1015;IT Devices;Laptop Pro;Laptop Pro Model 16;2022;Mature;900,44;631,98;0,29;1,08
1016;SKU-1016;IT Devices;Laptop Pro;Laptop Pro Model 17;2021;Mature;1078,58;784,6;0,29;1,08
1017;SKU-1017;IT Devices;Laptop Pro;Laptop Pro Model 18;2020;Growth;921,36;712,94;0,29;1,08
1018;SKU-1018;IT Devices;Laptop Pro;Laptop Pro Model 19;2022;Growth;1028,66;723,02;0,29;1,08
1019;SKU-1019;IT Devices;Laptop Pro;Laptop Pro Model 20;2021;Mature;974,41;661,35;0,29;1,08
1020;SKU-1020;IT Devices;Laptop Standard;Laptop Standard Model 01;2019;Decline;557,69;433,97;0,24;1,01
1021;SKU-1021;IT Devices;Laptop Standard;Laptop Standard Model 02;2021;Mature;670,24;525,11;0,24;1,01
1022;SKU-1022;IT Devices;Laptop Standard;Laptop Standard Model 03;2021;Growth;665,92;483,94;0,24;1,01
1023;SKU-1023;IT Devices;Laptop Standard;Laptop Standard Model 04;2019;Mature;612,14;516,87;0,24;1,01
