forecast_id,year_month,product_id,region_id,forecast_version,forecast_units,forecast_revenue_eur,actual_units,actual_revenue_eur
1,2021-01,1000,1,Rolling Forecast,86,59533.83,81,56358.020000000004
2,2021-01,1000,3,Rolling Forecast,15,11645.69,19,12332.03
3,2021-01,1000,7,Budget,11,7114.7,10,6669.06
4,2021-01,1001,1,Rolling Forecast,6,4513.34,6,4887.95
5,2021-01,1001,2,Rolling Forecast,127,74528.01,102,72049.04
6,2021-01,1001,3,Rolling Forecast,113,105023.14,117,85146.18
7,2021-01,1001,5,Rolling Forecast,8,4747.66,7,5335.52
8,2021-01,1001,6,Rolling Forecast,30,23047.61,33,23772.53
9,2021-01,1001,8,Latest Estimate,60,45456.78,75,51408.96
10,2021-01,1002,1,Latest Estimate,8,6394.16,8,6969.67
11,2021-01,1002,2,Latest Estimate,43,30301.61,39,29810.350000000002
12,2021-01,1002,3,Latest Estimate,152,107875.62,138,102532.69
13,2021-01,1002,6,Budget,88,74812.05,101,77728.51
14,2021-01,1002,8,Rolling Forecast,45,29991.35,44,30226.83
15,2021-01,1002,9,Latest Estimate,61,60942.19,75,55473.14
16,2021-01,1003,2,Rolling Forecast,73,71884.36,63,63547.130000000005
17,2021-01,1003,3,Rolling Forecast,19,27122.6,23,23681.47
18,2021-01,1003,4,Budget,82,97625.78,102,98174.61
19,2021-01,1003,5,Rolling Forecast,116,133512.51,115,105907.67
20,2021-01,1003,6,Rolling Forecast,15,13290.9,13,13986.400000000001
21,2021-01,1003,8,Budget,96,106005.72,119,99016.84
22,2021-01,1003,9,Budget,13,17104.62,16,16370.5
23,2021-01,1004,1,Latest Estimate,207,141987.81,215,143680.64
24,2021-01,1004,3,Budget,7,5679.22,8,6765.98
25,2021-01,1004,4,Rolling Forecast,105,63314.89,92,66452.77
26,2021-01,1004,5,Latest Estimate,65,45403.46,65,39731.51
27,2021-01,1004,6,Rolling Forecast,161,137027.12,169,119534.77
28,2021-01,1005,5,Rolling Forecast,108,72123.24,113,74265.3
29,2021-01,1005,6,Rolling Forecast,27,19324.58,31,22101.350000000002
30,2021-01,1006,1,Rolling Forecast,280,214201.91,224,154566.36
31,2021-01,1006,4,Rolling Forecast,17,20303.34,22,16989.22
32,2021-01,1006,5,Budget,107,65218.63,104,71138.03
33,2021-01,1006,6,Budget,57,37129.34,63,41640.13
34,2021-01,1006,9,Rolling Forecast,9,8018.45,10,8153.44
35,2021-01,1007,1,Latest Estimate,19,18898.87,23,22897.2
36,2021-01,1007,2,Rolling Forecast,34,25283.56,33,31238.72
37,2021-01,1007,3,Budget,20,23478.41,22,22576.0
38,2021-01,1007,4,Rolling Forecast,21,16737.05,19,17969.56
39,2021-01,1007,5,Latest Estimate,15,17938.76,16,15805.79
40,2021-01,1007,6,Latest Estimate,12,12496.93,14,13081.07
41,2021-01,1007,9,Latest Estimate,47,44922.58,50,44322.5
42,2021-01,1007,10,Rolling Forecast,12,12119.33,13,13981.2
43,2021-01,1008,2,Budget,12,8426.09,11,8013.86
44,2021-01,1008,3,Rolling Forecast,96,68060.86,110,77746.13
45,2021-01,1008,6,Latest Estimate,18,19784.52,24,17348.36
46,2021-01,1008,7,Latest Estimate,109,82152.18,104,74099.7
47,2021-01,1008,8,Rolling Forecast,9,6104.98,10,6983.46
48,2021-01,1009,1,Latest Estimate,93,70741.67,109,71929.38
