sales_id,order_id,date_id,date,year_month,customer_id,product_id,region_id,sales_rep_id,units,asp_eur,discount_pct,revenue_eur,revenue_local_currency,currency,unit_cost_eur,gross_profit_eur,gross_margin_pct,is_outlier_order
1,ORD-00000001,20220304,2022-03-04,2022-03,282,1133,2,39.0,26,104.0,0.092,2704.13,2704.13,EUR,78.47,663.79,0.2455,False
2,ORD-00000002,20240503,2024-05-03,2024-05,562,1105,2,73.0,21,1698.07,0.089,35659.45,35659.45,EUR,944.57,15823.42,0.4437,False
3,ORD-00000003,20241205,2024-12-05,2024-12,146,1007,7,41.0,117,983.15,0.123,115029.0,169160.29,CAD,637.92,40392.64,0.3512,False
4,ORD-00000004,20241119,2024-11-19,2024-11,487,1176,6,10.0,5,63.48,0.084,317.39,344.99,USD,55.67,39.04,0.123,False
5,ORD-00000005,20220713,2022-07-13,2022-07,869,1104,10,81.0,61,931.87,0.157,56844.25,9168427.42,JPY,728.64,12397.02,0.2181,False
6,ORD-00000006,20220108,2022-01-08,2022-01,308,1010,1,28.0,15,1027.25,0.058,15408.76,15408.76,EUR,809.91,3260.05,0.2116,False
7,ORD-00000007,20221104,2022-11-04,2022-11,8,1125,10,2.0,29,85.92,0.112,2491.72,401890.32,JPY,55.48,882.82,0.3543,False
8,ORD-00000008,20230816,2023-08-16,2023-08,4,1199,8,64.0,25,271.68,0.027,6791.88,6791.88,EUR,86.27,4635.22,0.6825,False
9,ORD-00000009,20240117,2024-01-17,2024-01,904,1165,1,82.0,24,58.72,0.08,1409.24,1409.24,EUR,53.54,124.3,0.0882,False
10,ORD-00000010,20250414,2025-04-14,2025-04,816,1143,7,67.0,18,792.99,0.161,14273.85,20990.96,CAD,825.02,-576.5,-0.0404,False
11,ORD-00000011,20241222,2024-12-22,2024-12,1170,1178,6,75.0,14,44.45,0.103,622.31,676.42,USD,39.4,70.71,0.1136,False
12,ORD-00000012,20240725,2024-07-25,2024-07,545,1058,10,9.0,140,571.53,0.068,80013.74,12905441.94,JPY,438.19,18666.63,0.2333,True
13,ORD-00000013,20220624,2022-06-24,2022-06,782,1028,9,20.0,35,449.71,0.155,15739.96,68434.61,PLN,384.33,2288.44,0.1454,False
14,ORD-00000014,20230814,2023-08-14,2023-08,808,1053,10,76.0,12,375.68,0.113,4508.15,727120.97,JPY,290.33,1024.25,0.2272,False
15,ORD-00000015,20221115,2022-11-15,2022-11,213,1099,1,42.0,59,762.92,0.122,45012.49,45012.49,EUR,475.11,16981.11,0.3773,False
16,ORD-00000016,20220427,2022-04-27,2022-04,252,1104,9,20.0,36,962.84,0.101,34662.41,150706.13,PLN,700.31,9451.15,0.2727,False
17,ORD-00000017,20210123,2021-01-23,2021-01,869,1190,10,4.0,103,210.93,0.144,21725.97,3504188.71,JPY,101.42,11280.17,0.5192,False
